frame,t_sec,total_joints,nose_conf,nose_x,nose_y,lSho_conf,lSho_x,lSho_y,rSho_conf,rSho_x,rSho_y,lElb_conf,lElb_x,lElb_y,rElb_conf,rElb_x,rElb_y,lWri_conf,lWri_x,lWri_y,rWri_conf,rWri_x,rWri_y,lHip_conf,lHip_x,lHip_y,rHip_conf,rHip_x,rHip_y
81,3.378,12,0.781,0.5701,0.3081,0.409,0.6615,0.1098,0.553,0.4919,0.0715,0.712,0.7318,0.3682,0.756,0.3484,0.2328,0.691,0.7304,0.6530,0.734,0.3407,0.4618,0.000,0.0000,1.0000,0.000,0.0000,1.0000
82,3.420,12,0.768,0.5719,0.3208,0.355,0.6622,0.1074,0.585,0.4910,0.0864,0.691,0.7340,0.3716,0.752,0.3494,0.2342,0.692,0.7308,0.6553,0.772,0.3420,0.4663,0.000,0.0000,1.0000,0.000,0.0000,1.0000
83,3.462,12,0.782,0.5720,0.3399,0.383,0.6636,0.1196,0.602,0.4955,0.0977,0.677,0.7359,0.3728,0.742,0.3502,0.2364,0.694,0.7316,0.6570,0.770,0.3429,0.4680,0.000,0.0000,1.0000,0.000,0.0000,1.0000
84,3.504,12,0.785,0.5726,0.3534,0.401,0.6657,0.1310,0.644,0.4957,0.1142,0.693,0.7365,0.3719,0.770,0.3514,0.2395,0.691,0.7324,0.6567,0.788,0.3438,0.4696,0.000,0.0000,1.0000,0.000,0.0000,1.0000
85,3.545,12,0.846,0.5704,0.3696,0.428,0.6664,0.1411,0.583,0.4973,0.1246,0.715,0.7378,0.3789,0.764,0.3520,0.2434,0.710,0.7325,0.6661,0.753,0.3449,0.4721,0.000,0.0000,1.0000,0.000,0.0000,1.0000
86,3.587,12,0.793,0.5739,0.3839,0.532,0.6696,0.1730,0.602,0.4995,0.1392,0.737,0.7398,0.3811,0.757,0.3521,0.2463,0.722,0.7333,0.6679,0.749,0.3457,0.4735,0.000,0.0000,1.0000,0.000,0.0000,1.0000
87,3.629,11,0.788,0.5729,0.3990,0.488,0.6693,0.1784,0.642,0.5024,0.1565,0.757,0.7419,0.3889,0.739,0.3524,0.2480,0.755,0.7334,0.6722,0.698,0.3477,0.4749,0.000,0.0000,1.0000,0.000,0.0000,1.0000
88,3.670,12,0.820,0.5738,0.4148,0.557,0.6718,0.1938,0.663,0.5044,0.1704,0.758,0.7431,0.3899,0.733,0.3522,0.2503,0.756,0.7334,0.6739,0.632,0.3489,0.4784,0.000,0.0000,1.0000,0.000,0.0000,1.0000
89,3.712,12,0.821,0.5743,0.4316,0.543,0.6722,0.2082,0.631,0.5043,0.1870,0.758,0.7455,0.3881,0.767,0.3534,0.2545,0.742,0.7347,0.6769,0.655,0.3493,0.4860,0.000,0.0000,1.0000,0.000,0.0000,1.0000
90,3.754,12,0.802,0.5726,0.4483,0.583,0.6716,0.2228,0.655,0.5040,0.2036,0.755,0.7473,0.3904,0.782,0.3537,0.2600,0.724,0.7352,0.6808,0.668,0.3504,0.4916,0.000,0.0000,1.0000,0.000,0.0000,1.0000
